ssnn,target,vertical,weight,followers
tw,"quiz_viajero",info,1239,25872
tw,"quiz_viajero",retailer,47,25870
tw,"quiz_viajero",aseguradora,22,25870
tw,infoviajera,info,1221,38671
tw,infoviajera,retailer,2,38666
tw,floxie10,info,1212,39554
tw,sirchandlerblog,info,1211,58349
tw,promosaereasar,info,718,118922
tw,avantrip,retailer,694,25001
tw,revestrategas,info,629,3298
tw,revestrategas,aseguradora,2,3297
tw,expoestrategas,info,432,1423
tw,expoestrategas,aseguradora,3,1423
tw,asistenciaya,retailer,405,570
tw,asistenciaya,info,4,570
tw,asistenciaya,aseguradora,2,570
tw,bertita2014,info,389,747
tw,"kenn_qbe",hashtag,378,4146
tw,assist365ok,aseguradora,373,2147
tw,todoriesgoweb,info,356,2382
tw,assistcard,aseguradora,305,32262
tw,allianzarg,aseguradora,198,3742
tw,allianzarg,info,1,3742
tw,carlosatolosa,info,167,1203
tw,carlosatolosa,retailer,1,1203
tw,seguroslacaja,aseguradora,152,5056
tw,hotelkilo787,info,130,1002
tw,hotelkilo787,retailer,9,1001
tw,hotelkilo787,aseguradora,3,1001
tw,"buenafuente_seg",info,139,2139
tw,universalassist,aseguradora,131,5613
tw,ezequielalejan6,info,130,920
tw,100segurotv,info,126,2903
tw,fedpatoficial,aseguradora,107,1373
tw,fedpatoficial,info,3,1373
tw,verukatrip,info,101,1805
tw,verukatrip,retailer,6,1803
tw,"lila_ssn",hashtag,106,201
tw,pooleconomico,info,102,1785
tw,"ssn_ar",info,101,1464
tw,"instituto_aseg",aseguradora,99,13371
tw,tiempodeseguros,info,80,3219
tw,gbarbeito,info,75,704
tw,gbarbeito,aseguradora,1,704
tw,segurossuraar,aseguradora,75,337
tw,dinhaviajera,info,67,1914
tw,dinhaviajera,retailer,4,1912
tw,"ink_qbe",hashtag,69,156
tw,positivelyjoan,hashtag,66,8110
tw,maynardjgr,info,35,250
tw,maynardjgr,retailer,22,250
tw,maynardjgr,aseguradora,6,250
tw,mequieroirahi,retailer,29,752
tw,mequieroirahi,info,27,753
tw,mequieroirahi,aseguradora,6,748
tw,blossombei,info,61,8
tw,adrianratam,info,60,2971
tw,bnppcardifarg,aseguradora,59,148
tw,pabloae1970,aseguradora,51,311
tw,pabloae1970,info,6,311
tw,pinorocha,info,57,2692
tw,quemero20,info,50,655
tw,quemero20,aseguradora,6,654
tw,"fernando_zambon",info,48,331
tw,"fernando_zambon",aseguradora,7,331
tw,segurosaldia,info,51,1305
tw,fegahr,retailer,49,207
tw,"ice_qbe",hashtag,48,311
tw,resourceful1942,hashtag,48,3599
tw,vanturrisima,info,46,1159
tw,vanturrisima,retailer,2,1158
tw,juanmonroig,info,46,53
tw,kavn,hashtag,45,6378
tw,tsviaje,retailer,42,140
tw,"gabriela_tre",retailer,25,153
tw,"gabriela_tre",info,14,153
tw,"gabriela_tre",aseguradora,1,153
tw,stefanorepetto2,aseguradora,40,76
tw,analiagoffi,info,33,1074
tw,analiagoffi,aseguradora,3,1073
tw,analiagoffi,retailer,3,1073
tw,"ssn_jiw",hashtag,39,195
tw,gydtravelers,info,30,1505
tw,gydtravelers,retailer,7,1504
tw,"_travelace",aseguradora,35,2188
tw,abccardinal,aseguradora,35,205888
tw,flwrgirl66x,hashtag,35,1666
tw,mirtaboedo,info,25,189
tw,mirtaboedo,retailer,9,189
tw,solobusescba,info,32,3458
tw,solobusescba,retailer,2,3454
tw,20cristi,aseguradora,33,337
tw,aeropuertouio,hashtag,33,54457
tw,integrityseg,aseguradora,33,1136
tw,masegurostw,aseguradora,32,920
tw,masegurostw,hashtag,1,920
tw,pbadorrey,info,33,39
tw,carreteandoblog,info,26,5884
tw,carreteandoblog,retailer,5,5882
tw,carreteandoblog,aseguradora,1,5882
tw,santperezvitali,aseguradora,29,341
tw,santperezvitali,info,3,341
tw,abril077,info,20,505
tw,abril077,retailer,11,507
tw,mmonacci,info,29,413
tw,mmonacci,aseguradora,1,412
tw,olivefarmer,hashtag,30,1922
tw,sergioapicella,aseguradora,21,107
tw,sergioapicella,info,9,107
tw,juanoflyer,info,27,10125
tw,juanoflyer,aseguradora,2,10122
tw,elviajeamado,info,25,4632
tw,elviajeamado,retailer,3,4628
tw,grachumorel,info,17,99
tw,grachumorel,retailer,10,99
tw,joseurdiroz,info,27,46
tw,desordendpanico,info,26,330
tw,ernestovilla987,info,26,1093
tw,jzottos1,info,25,7
tw,jzottos1,aseguradora,1,7
tw,"yami_echague",info,24,324
tw,"yami_echague",retailer,2,324
tw,lavidanomade,info,25,6131
tw,assistravel,aseguradora,24,582
tw,prudenciaseg,aseguradora,24,757
tw,compresegurostw,retailer,22,202
tw,compresegurostw,info,1,202
tw,"confiar_seguros",aseguradora,21,30
tw,"confiar_seguros",info,2,30
tw,"miyana_ssn",hashtag,23,62
tw,"qbe_root",hashtag,23,412
tw,chsegurosok,aseguradora,11,355
tw,chsegurosok,info,11,355
tw,laputanorte,aseguradora,22,1541
tw,"osh_ssn",hashtag,22,394
tw,alealzuga,retailer,21,62
tw,aleottawa,info,21,1408
tw,homegrownjoan,hashtag,21,391
tw,"ssn_ssk",hashtag,21,78
tw,"00_ssn",hashtag,20,145
tw,ladysilvyz,retailer,11,41
tw,ladysilvyz,info,9,41
tw,pili0909,info,16,1064
tw,pili0909,retailer,4,1064
tw,ricardo07cc,info,19,86
tw,ricardo07cc,retailer,1,86
tw,stuartsmyth66,hashtag,20,3129
tw,docentebonaeren,info,19,58
tw,flyezequiel,info,19,941
tw,g4st2n,info,18,158
tw,g4st2n,aseguradora,1,158
tw,pdoctorovich,aseguradora,19,287
tw,peterdoodes,hashtag,19,475
tw,rebeccuscom,info,18,1310
tw,rebeccuscom,retailer,1,1310
tw,rosariosegura1,info,19,99
tw,camarapland,aseguradora,18,5765
tw,fedecuco,info,18,11897
tw,gracielasasbon,info,18,259
tw,simon25m,info,16,546
tw,simon25m,retailer,2,544
tw,bossywhenneeded,hashtag,17,1622
tw,manzurdiego,info,17,9
tw,raspandoelmapa,info,14,1314
tw,raspandoelmapa,aseguradora,3,1313
tw,"ssn_lehwa",hashtag,17,21
tw,aeroaplicador1,info,16,847
tw,dulcineacotter,retailer,10,325
tw,dulcineacotter,info,6,326
tw,edusssspow,info,13,693
tw,edusssspow,retailer,3,693
tw,"f_cardinal",aseguradora,16,54063
tw,"fer_panelo",info,16,670
tw,icmifamericas,info,16,344
tw,loretopepa09,info,16,469
tw,ndapas2017,aseguradora,13,20
tw,ndapas2017,info,3,20
tw,nmrocco,info,13,40
tw,nmrocco,aseguradora,3,40
tw,solquintans,info,16,555
tw,soperuilh,info,16,46
tw,turytecnia,info,16,1241
tw,dannicarvajal,info,15,856
tw,gudamemessa,info,15,60
tw,"hernann_n",info,14,1563
tw,"hernann_n",retailer,1,1563
tw,pichiescudero26,aseguradora,11,26
tw,pichiescudero26,info,4,26
tw,robertomenkes,info,15,740
tw,tuqui2004,retailer,9,1020
tw,tuqui2004,info,6,1022
tw,vecu88,info,15,766
tw,viajesdejuani,info,12,1269
tw,viajesdejuani,retailer,3,1265
tw,geralpettis,info,13,584
tw,geralpettis,retailer,1,584
tw,hortelmax,aseguradora,13,178
tw,hortelmax,info,1,178
tw,jimenaroldan,info,14,1559
tw,karinatangari15,info,14,222
tw,ladipalma,info,14,1143
tw,linnebrinkm,aseguradora,11,115
tw,linnebrinkm,info,3,115
tw,maralegoz,info,13,427
tw,maralegoz,retailer,1,425
tw,miniveintidos,retailer,11,144
tw,miniveintidos,info,3,144
tw,sebasstianpine,info,14,31
tw,viajarsiempre,info,14,1292
tw,xime2203,info,14,661
tw,arielsonnet,info,13,102
tw,aviacionline,info,13,36137
tw,bettbals,info,11,5443
tw,bettbals,retailer,2,5442
tw,deritofer,info,13,130
tw,drcaneda,retailer,7,634
tw,drcaneda,info,5,634
tw,drcaneda,aseguradora,1,628
tw,"lucena_chimi",info,13,1068
tw,"matt_cuello",info,13,44
tw,anfigueroa90,info,12,76
tw,"boca_sanjuan",aseguradora,12,82
tw,comunidadavion,info,12,4896
tw,diazpez,info,12,6896
tw,federatier,info,12,1446
tw,gastonsena29,info,12,2630
tw,"german_m",info,12,747
tw,jeremiasushy,info,12,125
tw,kvivi24,info,12,153
tw,lordwallaby,info,12,137
tw,lucianaaon,info,12,1002
tw,marcostrappi,info,10,413
tw,marcostrappi,retailer,2,412
tw,miscolectivos,info,10,74
tw,miscolectivos,aseguradora,1,74
tw,miscolectivos,retailer,1,74
tw,nachotrusso,info,12,2139
tw,"shieo_qbe",hashtag,12,313
tw,"ssn_ry",hashtag,12,15
tw,twitdeine,info,12,439
tw,veritoroblescas,info,12,47
tw,"victor_biarnes",info,12,515
tw,"_daro",info,11,1419
tw,delgrecoalfredo,info,11,19
tw,dtrica,info,10,1452
tw,dtrica,hashtag,1,1452
tw,dubrabr,aseguradora,11,323
tw,estudioderecha,info,9,351
tw,estudioderecha,aseguradora,1,350
tw,estudioderecha,retailer,1,350
tw,gabykiki,info,11,164
tw,iagonob22,info,11,826
tw,jmi149,info,11,57
tw,leqrodriguez,info,11,269
tw,marcel0adrian,info,10,152
tw,marcel0adrian,aseguradora,1,152
tw,mceleste1981,info,8,113
tw,mceleste1981,retailer,3,113
tw,mfaletty,aseguradora,11,839
tw,nimedionik,info,11,466
tw,nonegoziabili,aseguradora,11,4939
tw,"reto_al_destino",info,11,696
tw,segurumex,hashtag,11,1726
tw,"ssn_66",hashtag,11,81
tw,"suzzz_ssn",hashtag,11,10
tw,systemsegurosca,hashtag,11,794
tw,30aseawitch,hashtag,10,2183
tw,antoniomaluge,aseguradora,10,387
tw,apascuyomza,info,10,75
tw,"aranya_ssn",hashtag,10,0
tw,"argentoos_ok",info,10,8
tw,chcastro10,info,9,149
tw,chcastro10,aseguradora,1,148
tw,"chngsk_ssn",hashtag,10,118
tw,dviruglio,aseguradora,10,27
tw,estela94664781,aseguradora,6,91
tw,estela94664781,info,3,91
tw,estela94664781,hashtag,1,91
tw,fedecvillafa,aseguradora,5,29
tw,fedecvillafa,info,5,29
tw,foodarses,hashtag,10,179
tw,fridasocrates,info,10,540
tw,gontraveler,info,10,130
tw,gustavo14309677,aseguradora,10,7
tw,jabereciartua,aseguradora,10,3317
tw,jasstreit,info,10,1902
tw,"lautigomez_02",info,10,1093
tw,liganacional,aseguradora,10,197698
tw,"mabel_peterson",info,10,1240
tw,"mariana_agara",info,8,964
tw,"mariana_agara",retailer,2,964
tw,niconoriega,aseguradora,5,538
tw,niconoriega,info,5,538
tw,robimpaglione,info,10,645
tw,rockyroxi,info,8,185
tw,rockyroxi,retailer,2,185
tw,"ssn_85",hashtag,10,308
tw,swanheart5,info,8,134
tw,swanheart5,retailer,2,134
tw,titacuevas1,info,10,259
tw,viajero19711,info,10,17
tw,anaoreilly,info,7,4145
tw,anaoreilly,hashtag,2,4145
tw,bobblades3,retailer,8,58
tw,bobblades3,info,1,58
tw,"carryon_blog",info,9,38
tw,celesteyestrell,info,9,64
tw,elsuizorebelde,info,9,705
tw,estasporviajar,hashtag,9,469
tw,eustaquioag,info,8,227
tw,eustaquioag,retailer,1,227
tw,geminikanon10,info,8,143
tw,geminikanon10,aseguradora,1,143
tw,grupofv,aseguradora,6,282
tw,grupofv,info,3,281
tw,ignisanz,info,8,554
tw,ignisanz,retailer,1,554
tw,jbouzali,info,9,435
tw,jorquenlau,info,9,900
tw,josefinaboland,info,9,30
tw,karu07,info,8,91
tw,karu07,aseguradora,1,91
tw,kikelippi,info,9,6443
tw,mdanflor,info,9,492
tw,"moro_argenta",info,9,6779
tw,pepincascaron,info,9,138
tw,phandaw,hashtag,9,1845
tw,"pipas_ar",info,9,318
tw,"robles_jdaniel",hashtag,9,3536
tw,rsproductores,aseguradora,9,127
tw,solvijarra,info,5,47
tw,solvijarra,retailer,4,47
tw,"valeriasmith_ac",info,7,4942
tw,"valeriasmith_ac",aseguradora,2,4939
tw,yodigonirawei,info,6,247
tw,yodigonirawei,retailer,3,247
tw,"_qwaku_",hashtag,8,515
tw,aliciajuanita,info,7,96
tw,aliciajuanita,retailer,1,96
tw,"andresi_10",info,8,22
tw,brancowitz,info,6,14286
tw,brancowitz,retailer,2,14285
tw,caivazquez,info,8,53
tw,canelon12,info,7,309
tw,canelon12,aseguradora,1,310
tw,carlitaffuentes,info,8,261
tw,"cberrutti_carp",info,8,929
tw,conurbatour,info,8,1177
tw,darkvi9,info,7,594
tw,darkvi9,aseguradora,1,594
tw,deviajeadisney,info,8,3918
tw,elkikinnn,info,8,7
tw,esquivelanamar1,info,8,117
tw,ggamorosino,info,8,131
tw,"gp_pas",aseguradora,6,18
tw,"gp_pas",info,2,18
tw,gracielascaglio,info,7,63
tw,gracielascaglio,retailer,1,64
tw,"icmif_web",info,8,1700
tw,javicoudray,info,8,191
tw,jodikoberinski,hashtag,8,3668
tw,"karl_kirche",info,8,662
tw,"l2_lasegunda",info,8,6508
tw,letlamor,info,7,246
tw,letlamor,retailer,1,246
tw,licha013,info,8,104
tw,locoadams,info,8,1735
tw,lucasrrizo,info,8,392
tw,"lunita_cba",info,7,69
tw,"lunita_cba",retailer,1,72
tw,lunopolis,info,8,1224
tw,maratrad,info,7,335
tw,maratrad,retailer,1,335
tw,marianasans,info,8,130
tw,nbnmi2,info,7,183
tw,nbnmi2,retailer,1,183
tw,paloaschieri,info,5,2777
tw,paloaschieri,aseguradora,3,2778
tw,silviaaquino1,info,7,3686
tw,silviaaquino1,hashtag,1,3687
tw,travelworldok,info,8,740
tw,"watch_ssn",hashtag,8,620
tw,ykkkchi,hashtag,8,22
tw,adriana62902996,info,7,88
tw,agusmodenutti,info,6,167
tw,agusmodenutti,retailer,1,167
tw,andonedynasty,hashtag,7,1352
tw,arielgfonseca,aseguradora,7,301
tw,"augusto_t",info,7,93
tw,avionesdigital,info,7,4163
tw,betinaazugna,info,7,344
tw,caterinack,info,5,1530
tw,caterinack,retailer,2,1530
tw,cbkr11,info,7,158
tw,cmalass,info,7,803
tw,dcarlosmorel,info,5,829
tw,dcarlosmorel,aseguradora,2,829
tw,"ddelgado_net",info,7,126
tw,dpegorar,aseguradora,7,13
tw,duhauaxel,info,5,469
tw,duhauaxel,aseguradora,1,469
tw,duhauaxel,retailer,1,469
tw,fernandezpm,info,7,28402
tw,gabicolombo2010,info,4,734
tw,gabicolombo2010,retailer,3,734
tw,gioiaraul,aseguradora,6,351
tw,gioiaraul,info,1,352
tw,iccparla,info,7,1208
tw,jomannez,info,7,56
tw,jpwseguros,info,4,18
tw,jpwseguros,aseguradora,3,18
tw,"juan_mazzini",info,7,387
tw,"lalo_1977",info,7,296
tw,laurasain,info,7,35
tw,lponsmanu,info,7,1265
tw,"lulita_b",aseguradora,6,335
tw,"lulita_b",info,1,335
tw,marianocabrera,info,7,8036
tw,marisaniemiz,info,7,1439
tw,maxiselva,info,7,284
tw,mivishatop,info,7,146
tw,mmejw,info,7,521
tw,monteralo,info,7,35
tw,notogmos,hashtag,7,5007
tw,oliveriolaura,aseguradora,6,181
tw,oliveriolaura,info,1,181
tw,palitosequeira,aseguradora,7,161
tw,"pastito_",retailer,6,139
tw,"pastito_",info,1,139
tw,planifica2viaje,info,7,1032
tw,proavanar,info,7,72
tw,qbegh,hashtag,7,231
tw,qualityman156,info,7,1285
tw,rondaspymes,aseguradora,7,75
tw,roxadada,info,6,223
tw,roxadada,retailer,1,223
tw,rubinopl,retailer,7,5233
tw,sandraquelok,aseguradora,7,197
tw,sergiocrd,info,7,412
tw,sophiferrari,info,7,326
tw,spasonoro,info,7,2321
tw,spottersb,info,7,91
tw,"srta_andie",info,7,3105
tw,"turismo_maso",hashtag,6,11985
tw,"turismo_maso",aseguradora,1,11985
tw,vazquezmaga,info,7,907
tw,"vivi_mir",info,7,433
tw,wickedivy,info,7,964
tw,yllenbp,retailer,7,132
tw,725paulinha,info,6,46
tw,"_santix",info,6,97
tw,"a_pbh",aseguradora,6,1818
tw,aeropuertolara,hashtag,6,14047
tw,"ale_dominguezg",info,5,186
tw,"ale_dominguezg",aseguradora,1,186
tw,alejandrorudi,info,6,146
tw,alexiakeglevich,aseguradora,6,1892
tw,alfonsomoschen,retailer,6,13137
tw,"anais_seguros",hashtag,6,3
tw,andreaime,info,6,126
tw,andynreyori,retailer,5,316
tw,andynreyori,info,1,316
tw,bassmanlqscb,aseguradora,6,47
tw,benu2015,info,6,880
tw,biroloines,info,5,197
tw,biroloines,retailer,1,197
tw,"caroalv_2017",info,6,134
tw,cflupianez,info,6,353
tw,"cites_gss",info,6,836
tw,directoriodemic,hashtag,6,1295
tw,"dr_nck",info,6,1170
tw,enavionabrasil,info,6,57
tw,eolmos32,info,6,400
tw,"ernes_paseguros",aseguradora,3,9
tw,"ernes_paseguros",info,3,9
tw,estelaschmldt,info,6,279
tw,"farhana_ssn",hashtag,6,285
tw,fedearias77,aseguradora,6,133756
tw,fercholp,info,6,167
